Id;Titulo;AutorId;AnioPublicacion;Ventas
1;Don Quijote de la Mancha Version 2;1;1605;500
2;Historia de dos ciudades;2;1859;200
3;El Señor de los Anillos;3;1978;150
4;El hobbit;3;1982;100
5;El principito;4;1951;140
6;Las aventuras de Alicia en el país de las maravillas;6;1865;100
7;Diez negritos;7;1939;100
8;El león, la bruja y el armario;8;1950;85
9;El código Da Vinci;9;2003;80
10;El guardián entre el centeno;10;1951;65
